STATION,NET
TIMES SQ-42 ST,875461.0
B'WAY-LAFAYETTE,641734.0
PATH NEW WTC,372601.8333333333
34 ST-PENN STA,292036.1666666667
8 ST-NYU,205914.0
CANAL ST,197616.83333333334
23 ST,190609.0
GRD CNTRL-42 ST,170699.5
42 ST-BRYANT PK,160456.0
PAVONIA/NEWPORT,154428.0
RECTOR ST,134374.0
GROVE STREET,124164.16666666667
JOURNAL SQUARE,123128.83333333333
FULTON ST,121904.33333333333
BROOKLYN BRIDGE,107919.0
LACKAWANNA,105630.0
34 ST-HERALD SQ,101811.0
86 ST,101455.33333333333
14 ST-UNION SQ,92572.33333333333
JFK JAMAICA CT1,86479.25
WORLD TRADE CTR,86199.5
CITY / BUS,83108.83333333333
72 ST,81020.0
NEWARK BM BW,78792.2
116 ST,77933.33333333333
